
ITENS
ID PESO VALOR
0 12 12
1 71 18
2 32 48
3 57 24
4 66 52
5 41 44
6 61 66
7 32 11
8 9 50
9 56 60
10 37 18
11 38 56
12 76 27
13 31 32
14 73 15
15 42 50
16 65 36
17 73 23
18 64 44
19 19 62
20 74 16
21 24 20
22 62 12
23 46 22
24 7 43
25 43 13
26 55 62
27 77 32
28 60 10
29 28 49
30 64 36
31 19 7
32 79 7
33 20 59
34 53 10
35 49 30
36 59 22
37 24 42
38 73 45
39 52 9
40 9 65
41 49 35
42 64 49
43 58 32
44 5 51
45 57 39
46 76 25
47 72 36
48 51 10
49 53 40
50 52 48
51 32 51
52 27 54
53 22 66
54 40 3
55 32 23
56 14 65
57 76 14
58 58 56
59 29 58
60 24 24
61 13 61
62 39 46
63 20 5
64 63 39
65 69 28
66 78 3
67 45 35
68 19 51
69 9 28
70 24 57
71 32 11
72 7 49
73 79 65
74 9 63

Tempo de execução: 1.0361e-05 segundos

Mochila: 35 29 39 67 60 8 21 44 
Valor: 268
Peso: 236
