
ITENS
ID PESO VALOR
0 35 72
1 22 19
2 84 72
3 59 54
4 86 64
5 41 25
6 80 19
7 24 27
8 87 61
9 77 20
10 45 24
11 64 72
12 79 39
13 65 24
14 55 39
15 48 71
16 75 12
17 61 33
18 73 44
19 80 17
20 56 65
21 83 67
22 62 49
23 66 38
24 43 42
25 64 71
26 39 17
27 58 45
28 44 22
29 81 65
30 28 40
31 37 66
32 86 10
33 66 55
34 41 22
35 48 73
36 38 65
37 30 55
38 66 51
39 67 68
40 67 23
41 41 43
42 83 35
43 84 71
44 29 67
45 75 51
46 44 18
47 70 56
48 79 64
49 52 38

Tempo de execução: 6.625e-06 segundos

Mochila: 34 28 38 6 41 33 37 
Valor: 267
Peso: 368
